Timestamp,Date,Gender,Age,Race,Which state are you from?,Which university are you from?,How many hours do you spend on social media in a day? (0.5 hour=30 minutes) ,Which social media site do you use the most?,What is the rating of your most used app?,How many friends did you add in your Facebook today?,How many followers did you gain in your Instagram today?
2022/05/24 10:02:17 pm GMT+8,5/24/2022,Female,21,Chinese,Perak,Universiti Malaysia Pahang (UMP),8,Instagram,3.5,0,1
2022/05/24 10:22:04 pm GMT+8,5/24/2022,Male,21,Chinese,Johor,Universiti Tun Hussein Onn Malaysia (UTHM),2,Instagram,3.5,0,0
2022/05/24 10:31:22 pm GMT+8,5/24/2022,Male,21,Chinese,Johor,Universiti Malaysia Pahang (UMP),8,YouTube,4.2,0,0
2022/05/24 10:40:25 pm GMT+8,5/24/2022,Female,21,Chinese,Perak,Universiti Utara Malaysia (UUM),3,WhatsApp,4.3,0,0
2022/05/24 11:02:33 pm GMT+8,5/24/2022,Male,21,Chinese,Johor,Universiti Malaysia Pahang (UMP),1.5,WhatsApp,4.3,0,0
2022/05/24 11:09:23 pm GMT+8,5/24/2022,Female,21,Chinese,Perak,Universiti Sains Malaysia (USM),15,WhatsApp,4.3,0,1
2022/05/24 9:47:37 pm GMT+8,5/24/2022,Female,21,Indian,Perak,Universiti Malaysia Sarawak (UNIMAS),2,YouTube ,4.2,0,0
2022/05/24 9:48:17 pm GMT+8,5/24/2022,Female,20,Malay,Pahang,Universiti Malaya (UM),4,TikTok,4.6,4,0
2022/05/24 9:48:37 pm GMT+8,5/24/2022,Male,22,Chinese,Johor,Universiti Malaysia Pahang (UMP),1,Messenger,3.8,0,0
2022/05/24 9:50:32 pm GMT+8,5/24/2022,Female,21,Malay,Malacca,Universiti Teknologi MARA (UiTM),5,YouTube,4.2,0,65
2022/05/24 9:51:04 pm GMT+8,5/24/2022,Female,21,Malay,Malacca,Universiti Malaysia Kelantan (UMK),2.5,WhatsApp,4.3,0,2
2022/05/24 9:51:11 pm GMT+8,5/24/2022,Male,21,Chinese,Pahang,Universiti Malaysia Pahang (UMP),5,TikTok,4.6,0,0
2022/05/24 9:52:11 pm GMT+8,5/24/2022,Male,21,Chinese,Penang,Universiti Utara Malaysia (UUM),4,YouTube,4.2,0,0
2022/05/24 9:52:43 pm GMT+8,5/24/2022,Male,23,Chinese,Penang,Universiti Malaysia Sarawak (UNIMAS),0.5,Facebook,3.2,1,5
2022/05/24 9:54:09 pm GMT+8,5/24/2022,Male,21,Chinese,Sarawak,Universiti Malaysia Pahang (UMP),2,YouTube,4.2,0,0
2022/05/24 9:54:53 pm GMT+8,5/24/2022,Female,21,Malay,Malacca,Universiti Malaysia Pahang (UMP),5.5,Twitter,3,0,2
2022/05/24 9:57:02 pm GMT+8,5/24/2022,Male,21,Chinese,Johor,Universiti Malaya (UM),5,Instagram,3.5,3,0
2022/05/24 9:59:46 pm GMT+8,5/24/2022,Male,21,Chinese,Penang,Universiti Malaysia Pahang (UMP),12.5,YouTube,4.2,2,0
2022/05/25 10:37:54 pm GMT+8,5/25/2022,Female,21,Chinese,Perak,Universiti Utara Malaysia (UUM),6,WhatsApp,4.3,0,1
2022/05/25 10:39:12 pm GMT+8,5/25/2022,Male,21,Chinese,Johor,Universiti Malaysia Pahang (UMP),3.5,TikTok,4.6,0,0
2022/05/25 10:39:56 pm GMT+8,5/25/2022,Male,21,Chinese,Sarawak,Universiti Malaysia Pahang (UMP),3.5,YouTube,4.2,0,0
2022/05/25 10:48:34 pm GMT+8,5/25/2022,Female,21,Malay,Malacca,Universiti Malaysia Pahang (UMP),3.5,TikTok,4.6,0,1
2022/05/25 10:52:42 pm GMT+8,5/25/2022,Female,20,Malay,Pahang,Universiti Malaya (UM),4,TikTok,4.6,0,0
2022/05/25 10:54:26 pm GMT+8,5/25/2022,Male,21,Chinese,Johor,Universiti Malaya (UM),5,Instagram,3.5,0,0
2022/05/25 10:56:01 pm GMT+8,5/25/2022,Male,21,Chinese,Johor,Universiti Malaysia Pahang (UMP),6,WhatsApp,4.3,0,0
2022/05/25 11:15:54 pm GMT+8,5/25/2022,Female,21,Malay,Malacca,Universiti Teknologi MARA (UiTM),5,YouTube,4.2,0,67
